analysis,group,fraction,statistic,n,n_questions,estimate,ci_lower,ci_upper,n_boot,seed,notes
mixed_outcome_paired_difference,incorrect_minus_correct,0.3,paired_difference,67,84,0.056959158491564306,0.0068496161926617765,0.10731358507547466,5000,42,"within-question paired, equal weight per question"
mixed_outcome_mean,correct,0.4,mean,67,84,0.7696960467499088,0.7075804802998241,0.8300777462573596,5000,42,equal weight per question
mixed_outcome_mean,incorrect,0.4,mean,67,84,0.7290636208461391,0.657619638114607,0.8034750624609514,5000,42,equal weight per question
mixed_outcome_paired_difference,incorrect_minus_correct,0.4,paired_difference,67,84,-0.003844805510079922,-0.058691592702725615,0.052158326145945164,5000,42,"within-question paired, equal weight per question"
mixed_outcome_mean,correct,0.5,mean,66,84,0.6958765890417575,0.6288825565886654,0.7644040334560459,5000,42,equal weight per question
mixed_outcome_mean,incorrect,0.5,mean,66,84,0.7144017885968311,0.6381868514286541,0.788105151122374,5000,42,equal weight per question
mixed_outcome_paired_difference,incorrect_minus_correct,0.5,paired_difference,66,84,0.026332351502297055,-0.03847014409805201,0.09116234073841527,5000,42,"within-question paired, equal weight per question"
mixed_outcome_mean,correct,0.6,mean,68,84,0.6447800086065255,0.5800801202311201,0.7081235987802125,5000,42,equal weight per question
mixed_outcome_mean,incorrect,0.6,mean,68,84,0.6510475416310421,0.5806028113347023,0.7196207600879356,5000,42,equal weight per question
mixed_outcome_paired_difference,incorrect_minus_correct,0.6,paired_difference,68,84,-0.007391081000511912,-0.07791118089035223,0.059245569706398646,5000,42,"within-question paired, equal weight per question"
mixed_outcome_mean,correct,0.7,mean,65,84,0.6027445548729999,0.5333847825400541,0.6723274344084623,5000,42,equal weight per question
mixed_outcome_mean,incorrect,0.7,mean,65,84,0.5674391388286464,0.49386242519777074,0.6421336321699882,5000,42,equal weight per question
mixed_outcome_paired_difference,incorrect_minus_correct,0.7,paired_difference,65,84,-0.016444288087726154,-0.09895606606468166,0.07008439261835657,5000,42,"within-question paired, equal weight per question"
mixed_outcome_mean,correct,0.8,mean,68,84,0.49924071521285734,0.4323953120676606,0.5651161455206755,5000,42,equal weight per question
mixed_outcome_mean,incorrect,0.8,mean,68,84,0.46638336869783426,0.402513068688161,0.5314295009481546,5000,42,equal weight per question
mixed_outcome_paired_difference,incorrect_minus_correct,0.8,paired_difference,68,84,-0.027881111857586762,-0.11390099761395134,0.061732880051463046,5000,42,"within-question paired, equal weight per question"
mixed_outcome_mean,correct,0.9,mean,73,84,0.36081961603068174,0.3068599697255994,0.4165831498922833,5000,42,equal weight per question
mixed_outcome_mean,incorrect,0.9,mean,73,84,0.33676722696227157,0.27882696490162917,0.3967101585640369,5000,42,equal weight per question
mixed_outcome_paired_difference,incorrect_minus_correct,0.9,paired_difference,73,84,-0.02559591581279308,-0.10035241185865193,0.051324167148029856,5000,42,"within-question paired, equal weight per question"
mixed_outcome_mean,correct,1.0,mean,77,84,0.07965253167308621,0.05907452237415965,0.10366675836779328,5000,42,equal weight per question
mixed_outcome_mean,incorrect,1.0,mean,77,84,0.08594837388688238,0.0652441974337791,0.10896118834110793,5000,42,equal weight per question
mixed_outcome_paired_difference,incorrect_minus_correct,1.0,paired_difference,77,84,0.0076969336099901335,-0.019217549077910758,0.03457215732469564,5000,42,"within-question paired, equal weight per question"
